MANA,203149598.90398738,205406468.43071297,222144358.26540077,232554463.51821232,229296290.74311346,302536195.20807624,298750791.1634147,312999057.4174284,310998260.1220933,320663662.16854525,333361877.7910233,366841570.8149829,406027592.9029239,455879000.0319404,413285658.4393947,396856803.4959653,381979017.7674574,395370627.29944,410419070.5974666,439059663.3555903,400059431.44988763,417903388.3090651,359800438.2028629,306032973.20683634,330774891.3074724,355461632.3249283,327394341.6231869,336727271.9562514,317024102.1069376,351730223.2161757,351937983.2324426
ENJ,317379819.9084478,314696979.77540106,333502831.9219771,341499281.3745305,339172885.46543455,374784089.67424124,360611399.9332779,351797147.4678055,369841971.7252314,387532546.51446205,397793636.49854183,549384943.1916436,565431079.4516982,546121812.8348967,510962717.3288593,486159501.7616347,506118958.0619965,510459171.36006856,542391364.695846,561408207.3881085,516314585.5929434,534013813.17673004,506303239.48758376,411013074.386197,448944189.35344255,506630596.20994246,538876058.7356513,529941975.44395345,536832722.5044502,648398882.7225564,713542080.0343711
RFOX,28775526.31263295,29526403.27235521,33280282.25470964,34475162.64282573,33863795.885821566,33392321.13058784,32302809.18832064,33503612.561438676,32849324.583603922,49291449.891510405,49307164.65134825,49203660.653694816,63910953.34589407,81374398.6581088,84845163.63409995,90632821.24309441,108657944.02629508,114701002.44634917,157744508.52529836,213700494.6495041,188704021.21165332,199120727.93469453,189894111.3466135,173144198.12361094,203527990.99479723,180065784.9063709,163115556.75479156,172357644.09189877,191279839.41857153,198363260.30413336,182049110.09380952
SAND,54455839.00205255,54301702.23202799,61976965.95622471,63849342.5678363,66642692.02226787,86626398.7936077,84541734.50964834,83538290.06807002,90297080.66362925,99365769.27064484,96008746.29018433,104388658.30997628,106820208.03984655,137873911.23891696,175088067.45694968,158948934.48672372,154598224.44782296,161011539.13744983,223249613.72840258,203649373.15381476,197860391.5085994,217619820.062559,198574807.03082937,157548294.80961537,168174649.8652463,158487778.18117923,159848756.77737612,165252835.5390936,147581425.63365048,163811865.05880508,159072291.59609672
AXS,44318781.58765724,54798876.99068524,53365507.86540088,56765165.0337434,53166698.41260354,59435724.905045286,52892927.774347655,55361621.22743488,76438944.15447699,72116404.35880649,75101765.86474666,82035548.07666408,98764150.94848293,109221603.26757081,117928865.12430115,112427932.6199726,108494626.08599752,104020340.19538751,118982634.22644034,109646392.6713354,98935768.12676474,101878727.12566894,91493453.89912306,73501125.22023176,75615113.17625104,77873259.32982357,82451586.76044883,88359534.30245604,77803001.05590644,90914743.05234298,90996635.18199918
MUST,24783483.60303936,27002469.604013108,32069176.08604102,35781040.99087645,33238030.277618382,32636189.565487877,29934100.74503396,29288216.92999073,25138354.38782147,19944938.76295097,18111925.75584401,17495313.148723792,17170455.65930808,16484859.223310947,15659595.087316368,14697100.23148177,13706338.762638558,14700251.672667688,15280427.256687667,15785618.661479168,15493905.038850425,16114800.514796393,14424636.370765828,12335461.503933853,14429399.086718066,12283048.128861507,12636525.732341839,11915118.12047014,12045723.605024032,13157486.509466741,12432625.445727399
ATRI,11984733.441465022,11643537.080282124,11119766.877774887,11981620.089750407,11584560.125096777,12180631.51210693,12491041.460991632,11829058.438067112,12250851.562643472,12482384.353068333,67780171.18166216,68721724.14870606,74493313.03410548,74265300.66626717,77686197.65265615,70334257.08173716,68135324.69016075,79117039.97197692,65602848.33411262,86387246.41790909,88139834.51768169,67328091.12004837,70901859.6438672,62071543.693165526,61279496.87935663,59590609.35978925,58419294.652829535,57921373.94464303,50654742.21803391,59804437.34296044,53531799.83727961
GHST,13482826.135754148,13876604.594340364,14224757.233327948,14600039.882095935,15231340.529637787,17393104.89462417,17915017.668851744,20259400.248047866,21004640.502160195,21026627.60887618,21652504.87167867,24613876.99703222,27359418.69047521,34521808.479767784,46582250.14243645,41587599.37551868,43193855.46370198,43205362.43049022,46338908.21590855,45422250.065938786,50192561.41315791,51764185.67106838,47196624.461066045,44081005.569704406,56429595.13407172,60141535.45792116,62562305.34535297,62308000.589411184,61905728.28512404,72256382.36737578,79952658.14063454
ULTRA,78865037.24107008,79651363.87740189,80778392.58263402,82526975.11023079,79740386.37360474,81557076.72477257,103742556.76640537,102929647.78041601,126929898.08436355,119944236.00192602,136243782.88066337,129564877.47935243,130356212.92728001,123907333.45275976,125848282.2580994,130439741.14380328,128031612.29825619,145623776.5611686,160949849.99523526,169403325.99901408,156427828.4538431,163799877.0972886,172572487.0668564,130923603.71410619,144573159.94659284,149813353.67329156,138018893.5891405,139095760.14007416,133282585.8818926,142704223.61819056,141779564.7265412
FUN,169106748.9109517,232008830.99201968,221990945.3302799,280709050.05087805,260084058.869728,263230150.8521174,240940771.14116234,223398485.9166147,231824659.63690293,234202252.66939297,219204638.7369238,218913226.81199172,224491165.97055954,261115340.0675259,226989083.78316548,213531043.83268335,205349018.81115624,206305778.896778,213990890.73065016,211899279.38950086,201938523.8571091,207311856.353879,188029486.27150327,156622067.13330874,205997512.60594484,191642006.62386474,180179772.43257087,175523526.13914233,164475141.11493018,175145277.5644536,177539074.25613764
